,value,data,startTime
334,174.0,2021-04-15,15:50:15
335,173.0,2021-04-15,15:50:23
336,174.0,2021-04-15,15:50:25
337,173.0,2021-04-15,15:50:33
338,173.0,2021-04-15,15:50:36
339,172.0,2021-04-15,15:50:39
340,174.0,2021-04-15,15:50:46
341,176.0,2021-04-15,15:50:53
342,176.0,2021-04-15,15:50:54
343,176.0,2021-04-15,15:51:01
344,178.0,2021-04-15,15:51:08
345,176.0,2021-04-15,15:51:13
346,177.0,2021-04-15,15:51:15
347,177.0,2021-04-15,15:51:22
348,176.0,2021-04-15,15:51:28
349,175.0,2021-04-15,15:51:30
350,175.0,2021-04-15,15:51:36
351,174.0,2021-04-15,15:51:40
352,173.0,2021-04-15,15:51:48
353,173.0,2021-04-15,15:51:53
354,173.0,2021-04-15,15:51:54
355,172.0,2021-04-15,15:52:02
356,172.0,2021-04-15,15:52:08
357,172.0,2021-04-15,15:52:13
358,171.0,2021-04-15,15:52:18
359,171.0,2021-04-15,15:52:21
360,170.0,2021-04-15,15:52:28
361,170.0,2021-04-15,15:52:29
362,170.0,2021-04-15,15:52:34
363,168.0,2021-04-15,15:52:39
364,163.0,2021-04-15,15:52:46
365,162.0,2021-04-15,15:52:50
366,157.0,2021-04-15,15:52:58
367,156.0,2021-04-15,15:52:59
368,155.0,2021-04-15,15:53:04
369,151.0,2021-04-15,15:53:12
370,150.0,2021-04-15,15:53:14
371,147.0,2021-04-15,15:53:24
372,151.0,2021-04-15,15:53:33
373,151.0,2021-04-15,15:53:36
374,154.0,2021-04-15,15:53:39
375,156.0,2021-04-15,15:53:44
376,159.0,2021-04-15,15:53:53
377,160.0,2021-04-15,15:53:58
378,162.0,2021-04-15,15:54:03
379,162.0,2021-04-15,15:54:04
380,163.0,2021-04-15,15:54:09
381,168.0,2021-04-15,15:54:18
382,167.0,2021-04-15,15:54:21
383,169.0,2021-04-15,15:54:28
384,169.0,2021-04-15,15:54:31
385,169.0,2021-04-15,15:54:34
386,169.0,2021-04-15,15:54:41
387,169.0,2021-04-15,15:54:44
388,167.0,2021-04-15,15:54:49
389,169.0,2021-04-15,15:54:54
390,171.0,2021-04-15,15:55:02
391,171.0,2021-04-15,15:55:05
392,171.0,2021-04-15,15:55:12
393,171.0,2021-04-15,15:55:18
394,170.0,2021-04-15,15:55:20
395,171.0,2021-04-15,15:55:27
396,171.0,2021-04-15,15:55:33
397,171.0,2021-04-15,15:55:35
398,170.0,2021-04-15,15:55:41
399,171.0,2021-04-15,15:55:48
400,169.0,2021-04-15,15:55:53
401,169.0,2021-04-15,15:55:54
402,171.0,2021-04-15,15:56:03
403,171.0,2021-04-15,15:56:08
404,171.0,2021-04-15,15:56:09
405,171.0,2021-04-15,15:56:15
406,171.0,2021-04-15,15:56:20
407,170.0,2021-04-15,15:56:26
408,172.0,2021-04-15,15:56:33
409,173.0,2021-04-15,15:56:38
410,173.0,2021-04-15,15:56:39
411,173.0,2021-04-15,15:56:48
412,173.0,2021-04-15,15:56:50
413,173.0,2021-04-15,15:56:55
414,174.0,2021-04-15,15:57:03
415,174.0,2021-04-15,15:57:04
416,173.0,2021-04-15,15:57:12
417,173.0,2021-04-15,15:57:18
418,173.0,2021-04-15,15:57:23
419,173.0,2021-04-15,15:57:24
420,175.0,2021-04-15,15:57:32
421,174.0,2021-04-15,15:57:34
422,173.0,2021-04-15,15:57:43
423,172.0,2021-04-15,15:57:47
424,171.0,2021-04-15,15:57:53
425,170.0,2021-04-15,15:57:55
426,170.0,2021-04-15,15:58:02
427,169.0,2021-04-15,15:58:07
428,169.0,2021-04-15,15:58:13
429,168.0,2021-04-15,15:58:14
430,170.0,2021-04-15,15:58:23
431,170.0,2021-04-15,15:58:24
432,169.0,2021-04-15,15:58:31
433,170.0,2021-04-15,15:58:38
434,171.0,2021-04-15,15:58:41
435,171.0,2021-04-15,15:58:48
436,172.0,2021-04-15,15:58:52
437,171.0,2021-04-15,15:58:58
438,172.0,2021-04-15,15:59:03
439,171.0,2021-04-15,15:59:04
440,171.0,2021-04-15,15:59:13
441,170.0,2021-04-15,15:59:17
442,171.0,2021-04-15,15:59:22
443,171.0,2021-04-15,15:59:24
444,170.0,2021-04-15,15:59:31
445,170.0,2021-04-15,15:59:34
446,170.0,2021-04-15,15:59:39
447,171.0,2021-04-15,15:59:47
448,170.0,2021-04-15,15:59:50
449,172.0,2021-04-15,15:59:58
450,172.0,2021-04-15,16:00:01
451,172.0,2021-04-15,16:00:06
452,172.0,2021-04-15,16:00:12
453,172.0,2021-04-15,16:00:17
454,172.0,2021-04-15,16:00:19
455,174.0,2021-04-15,16:00:27
456,175.0,2021-04-15,16:00:30
457,176.0,2021-04-15,16:00:34
458,176.0,2021-04-15,16:00:40
459,177.0,2021-04-15,16:00:47
460,177.0,2021-04-15,16:00:50
461,177.0,2021-04-15,16:00:54
462,178.0,2021-04-15,16:01:02
463,177.0,2021-04-15,16:01:04
464,178.0,2021-04-15,16:01:13
465,178.0,2021-04-15,16:01:17
466,178.0,2021-04-15,16:01:23
467,178.0,2021-04-15,16:01:26
468,178.0,2021-04-15,16:01:29
469,178.0,2021-04-15,16:01:37
470,178.0,2021-04-15,16:01:41
471,178.0,2021-04-15,16:01:47
472,178.0,2021-04-15,16:01:49
